,Tweets,Timestamp,Location,Keyword,Category,Country,Word_Tokens,sentiment,score,Sentiment Score,Positive,Negative
18167,"Cumhurbaşkanı Erdoğan'dan Fethi Sekin Paylaşımı Cumhurbaşkanı Recep Tayyip Erdoğan, 5 Ocak 2017 tarihinde İzmir'de… https://t.co/kqOx1ltWB6",5/1/2021 18:56,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"cumhurbaşkanı erdoğan'dan fethi sekin paylaşımı cumhurbaşkanı recep tayyip erdoğan, ocak tarihinde i̇zmir'de…",POSITIVE,0.7250937223434448,0.7250937223434448,0.7250937223434448,0.0
18168,"#Arnavutluk Cumhuriyeti Başbakanı Edi Rama, Cumhurbaşkanı Erdoğan’ın davetiyle yarın Türkiye’ye resmi ziyarette bul… https://t.co/55lGvXbQ50",5/1/2021 18:54,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"#arnavutluk cumhuriyeti başbakanı edi rama, cumhurbaşkanı erdoğan’ın davetiyle yarın türkiye’ye resmi ziyarette bul…",POSITIVE,0.5006358027458191,0.5006358027458191,0.5006358027458191,0.0
18169,"‼️Allah kimsenin gözünü Erdoğan düşmanlığıyla ülkesine hainlik edecek kadar kör etmesin olacaktı
Sinirden cümleyi de yanlış yazmışım",5/1/2021 18:54,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,‼️allah kimsenin gözünü erdoğan düşmanlığıyla ülkesine hainlik kör etmesin olacaktı sinirden cümleyi yanlış yazmışım,NEGATIVE,0.7123204469680786,-0.7123204469680786,0.0,0.7123204469680786
18170,"#Albania’s Prime Minister Edi Rama will visit #Turkey's President Erdogan on Wednesday on a two-day visit.
📸File https://t.co/YrSZeAqTrm",5/1/2021 18:53,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,#albania’s prime minister edi rama visit #turkey's president erdogan wednesday two-day visit. 📸file,POSITIVE,0.9958805441856384,0.9958805441856384,0.9958805441856384,0.0
18171,@Conqueror_1453 @BeyazFgulhan @YolTV Pesss vallahi pes! Avrupa’da hangi üniversitede okudun yani nasıl Krallarla (… https://t.co/s3bYvF9dZw,5/1/2021 18:52,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,pesss vallahi pes! avrupa’da üniversitede okudun krallarla (…,POSITIVE,0.9928370714187622,0.9928370714187622,0.9928370714187622,0.0
18172,"Dün Mustafa Kemal’in askeri olanlar bugün Hdp’nin itleri oldular

Allah kimsenin gözünü Erdoğan düşmanlığı yüzünden… https://t.co/c9hSk53wsu",5/1/2021 18:50,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,dün mustafa kemal’in askeri olanlar bugün hdp’nin itleri oldular allah kimsenin gözünü erdoğan düşmanlığı yüzünden…,NEGATIVE,0.967561662197113,-0.967561662197113,0.0,0.967561662197113
18173,@Conqueror_1453 @BeyazFgulhan @YolTV Heee diyorsun ki aynı zamanda Kral yani Sn Erdoğan 😁😂😁😂sen kral kim biliyor mu… https://t.co/ZTgCtfYNPQ,5/1/2021 18:50,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,heee diyorsun aynı zamanda kral sn erdoğan 😁😂😁😂sen kral biliyor mu…,POSITIVE,0.7385451197624207,0.7385451197624207,0.7385451197624207,0.0
18174,"@Conqueror_1453 @BeyazFgulhan @YolTV Tabi sen de haklısın, biz de Sn Erdoğan, hem Başkan, hem Cumhurbaşkanı, hem Ak… https://t.co/QGtHauvFRL",5/1/2021 18:47,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"tabi haklısın, sn erdoğan, başkan, cumhurbaşkanı, ak…",POSITIVE,0.9718466997146606,0.9718466997146606,0.9718466997146606,0.0
18175,"""Akademisyenden Erdoğan'a 100 Kıtalık Şiir: 'Sana Ömrümden Ömür Vermek İsterim'"" https://t.co/Ly8UzIiycr https://t.co/PYkozJ00dT",5/1/2021 18:47,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"""akademisyenden erdoğan'a kıtalık şiir: 'sana ömrümden ömür vermek i̇sterim'""",POSITIVE,0.8587862253189087,0.8587862253189087,0.8587862253189087,0.0
18176,"TAYFUN ERDOĞAN = MERT AKIN
İKİSİDE KISKANÇ, HAZIMSIZ
AMA BİR O KADARDA MERAKLI
İKİSİNİNDE KALBİ KÖTÜ",5/1/2021 18:45,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"tayfun erdoğan = mert akin i̇ki̇si̇de kiskanç, hazimsiz bi̇r kadarda merakli i̇ki̇si̇ni̇nde kalbi̇ kötü",NEGATIVE,0.998848557472229,-0.998848557472229,0.0,0.998848557472229
18177,Kılıçdaroğlu: Erdoğan'ı eleştirmeye kaç kişi cesaret ediyor; Evren'i kaç kişi eleştirebiliyordu; 12 Eylül neyse 20… https://t.co/4hxfKiHmNG,5/1/2021 18:43,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,kılıçdaroğlu: erdoğan'ı eleştirmeye kaç kişi cesaret ediyor; evren'i kaç kişi eleştirebiliyordu; eylül 20…,POSITIVE,0.9713422060012817,0.9713422060012817,0.9713422060012817,0.0
18178,"""CHP'nin başörtüsü önyargısından arınması Erdoğan'ı özel olarak rahatsız ediyor"" - Medyascope https://t.co/P2IjtZm8m9
@gumuskaya_ugur",5/1/2021 18:40,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"""chp'nin başörtüsü önyargısından arınması erdoğan'ı özel rahatsız ediyor"" - medyascope",POSITIVE,0.868732213973999,0.868732213973999,0.868732213973999,0.0
18179,Cumhurbaşkanı Erdoğan Şehit Fethi Sekin'i andı https://t.co/AyOVCCTGJa #Türkçe #Haberler https://t.co/hsuyp2FgHj,5/1/2021 18:39,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,cumhurbaşkanı erdoğan şehit fethi sekin'i andı #türkçe #haberler,POSITIVE,0.873499870300293,0.873499870300293,0.873499870300293,0.0
18180,"Başkan Erdoğan, Şehit Fethi Sekin için anma mesajı yayınladı
https://t.co/YPCTUhjNu8",5/1/2021 18:32,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"başkan erdoğan, şehit fethi sekin anma mesajı yayınladı",POSITIVE,0.7947385907173157,0.7947385907173157,0.7947385907173157,0.0
18181,"Buyurun lafa bakın: ""Ifade özgürlüğünün garantörü biziz diyoruz."" Kimsenin kişisel ""garantisine"" ihtiyacı yok. Anay… https://t.co/I3KyPCEJAU",5/1/2021 18:31,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"buyurun lafa bakın: ""ifade özgürlüğünün garantörü biziz diyoruz."" kimsenin kişisel ""garantisine"" ihtiyacı yok. anay…",POSITIVE,0.9870849251747131,0.9870849251747131,0.9870849251747131,0.0
18182,"Cumhurbaşkanımız Recep Tayyip Erdoğan, Genel Başkanımız Lider Devlet Bahçeli’yi evinde ziyaret etti.… https://t.co/WdWTGO08xh",5/1/2021 18:27,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"cumhurbaşkanımız recep tayyip erdoğan, genel başkanımız lider devlet bahçeli’yi evinde ziyaret etti.…",POSITIVE,0.9449458718299866,0.9449458718299866,0.9449458718299866,0.0
18183,"Cumhurbaşkanı Erdoğan, Bahçeli'yi ziyaret etti Cumhurbaşkanı Recep Tayyip Erdoğan, MHP Genel Başkanı Devlet Bahçeli… https://t.co/mvzIS7esGb",5/1/2021 18:26,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"cumhurbaşkanı erdoğan, bahçeli'yi ziyaret cumhurbaşkanı recep tayyip erdoğan, mhp genel başkanı devlet bahçeli…",POSITIVE,0.958855152130127,0.958855152130127,0.958855152130127,0.0
18184,"Emirü'l Mü'minin Sayın Erdoğan, küreselci paganların bizlere ve diğer toplumlara dayattıkları zorbalığın farkındamı… https://t.co/NT2tJZILgR",5/1/2021 18:21,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"emirü'l mü'minin sayın erdoğan, küreselci paganların bizlere toplumlara dayattıkları zorbalığın farkındamı…",NEGATIVE,0.910638689994812,-0.910638689994812,0.0,0.910638689994812
18185,"Mustafa Kemal in askerleri ve onlara Mustafa Kemal in itleri diyenler aynı kulvarda 
Cumhur ittifakını düşürmeye ça… https://t.co/QDrXpJ2fDt",5/1/2021 18:18,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,mustafa kemal askerleri mustafa kemal itleri diyenler aynı kulvarda cumhur ittifakını düşürmeye ça…,NEGATIVE,0.8598806858062744,-0.8598806858062744,0.0,0.8598806858062744
18186,Erdoğan nefreti kaynaklı önyargı o kadar büyük ki sırf o atadığı için 9 sene Boğaziçi geçmişi olan şu cv deki adam… https://t.co/wEg8T0mBBh,5/1/2021 17:54,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,erdoğan nefreti kaynaklı önyargı büyük sırf atadığı sene boğaziçi geçmişi cv deki adam…,NEGATIVE,0.9968976378440857,-0.9968976378440857,0.0,0.9968976378440857
18187,"Rektör,cübbesi ile Chp Kongresine gider sorun yok, ttb nin başına aleni terörist yardakçısı doktor seçilir sorun yo… https://t.co/0uPqvcc0yp",5/1/2021 17:43,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"rektör,cübbesi chp kongresine gider sorun yok, ttb nin başına aleni terörist yardakçısı doktor seçilir sorun yo…",NEGATIVE,0.7815238833427429,-0.7815238833427429,0.0,0.7815238833427429
18188,Son ankette Cumhur İttifakı'na şok! Erdoğan'ı geçti... Türkiye genelinde dijital olarak yapılan araştırma sonuçları… https://t.co/IBvMf2lGOX,5/1/2021 17:26,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,son ankette cumhur i̇ttifakı'na şok! erdoğan'ı geçti... türkiye genelinde dijital araştırma sonuçları…,POSITIVE,0.9366813898086548,0.9366813898086548,0.9366813898086548,0.0
18189,"@ONlCHAN Album covers are more beautiful than each other. As a new fan of Madonna, I think there is a different wor… https://t.co/8A4yRgdRee",5/1/2021 17:21,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"album covers beautiful other. new fan madonna, think different wor…",POSITIVE,0.9916974306106567,0.9916974306106567,0.9916974306106567,0.0
18190,@YakupZleyha @onediocomvideo Soyadı Erdoğan mi,5/1/2021 17:01,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,soyadı erdoğan,NEGATIVE,0.6491507887840271,-0.6491507887840271,0.0,0.6491507887840271
18191,"Ev Bahçeli'nin evi değilmiş gibi bir poz bu ama. Evin sahibi Erdoğan gibi çekilmiş.

Ayrıca müslüman evine ayakkabı… https://t.co/3JxfD292a4",5/1/2021 16:51,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,ev bahçeli'nin evi değilmiş bir poz ama. evin sahibi erdoğan çekilmiş. müslüman evine ayakkabı…,NEGATIVE,0.986443042755127,-0.986443042755127,0.0,0.986443042755127
18192,"Cumhurbaşkanımız sayın R. Tayyip Erdoğan, Liderimiz sayın Devlet Bahçeli beyi evinde ziyaret etti... https://t.co/IeXUPzQdLc",5/1/2021 16:42,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"cumhurbaşkanımız sayın r. tayyip erdoğan, liderimiz sayın devlet bahçeli beyi evinde ziyaret etti...",POSITIVE,0.8365556001663208,0.8365556001663208,0.8365556001663208,0.0
18193,Gol düellosunda kazanan çıkmadı Yeni Malatya Stadı'nda oynanan mücadelede ilk gol konuk ekipten geldi. Demir Grup S… https://t.co/DVJm31U0GD,5/1/2021 16:27,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,gol düellosunda kazanan çıkmadı yeni malatya stadı'nda oynanan mücadelede gol konuk ekipten geldi. demir grup s…,NEGATIVE,0.9984258413314819,-0.9984258413314819,0.0,0.9984258413314819
18194,"@gazetesozcu Makama ait uçakları ; Erdoğan'a ait kaç uçak var? Diye sormak adiliğin dibidir, bunu manşete taşımak d… https://t.co/KQUt6Gjuvt",5/1/2021 16:22,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"makama uçakları ; erdoğan'a kaç uçak var? sormak adiliğin dibidir, manşete taşımak d…",NEGATIVE,0.6880331635475159,-0.6880331635475159,0.0,0.6880331635475159
18195,"Recep Tayyip Erdoğan da Türkiye'nin gördüğü en liberal cumhurbaşkanı zaten, sorun yok.

Liberalizm tam olarak böyle… https://t.co/fSKsskoUXd",5/1/2021 16:19,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"recep tayyip erdoğan türkiye'nin gördüğü liberal cumhurbaşkanı zaten, sorun yok. liberalizm böyle…",POSITIVE,0.9974851608276367,0.9974851608276367,0.9974851608276367,0.0
18196,"Studierenden-Proteste in #Istanbul. 
Präsident Erdoğan ernannte ehem. AKP-Kandidat bei Parlamentswahlen als neuen R… https://t.co/vSRZmEStsd",5/1/2021 16:02,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,studierenden-proteste #istanbul. präsident erdoğan ernannte ehem. akp-kandidat parlamentswahlen r…,POSITIVE,0.9344544410705566,0.9344544410705566,0.9344544410705566,0.0
18197,"Erdogan icin degil cumhur baskani muhtar bile olamaz  diyen bahceli,erdogani kapida karsiliyor.kimleer kimlerle ber… https://t.co/Th5XhWTKNP",5/1/2021 15:57,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"erdogan icin degil cumhur baskani muhtar olamaz diyen bahceli,erdogani kapida karsiliyor.kimleer kimlerle ber…",POSITIVE,0.8971589803695679,0.8971589803695679,0.8971589803695679,0.0
18198,"haber: erdoğan'dan bahçeli'nin evine sürpriz ziyaret...

sürpriz neresinde bunun biri anlatabilir mi?... zatın her… https://t.co/AjjVPZu1PI",5/1/2021 15:57,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,haber: erdoğan'dan bahçeli'nin evine sürpriz ziyaret... sürpriz neresinde anlatabilir mi?... zatın her…,POSITIVE,0.9852097034454346,0.9852097034454346,0.9852097034454346,0.0
18199,Son dakika... Erdoğan'dan Bahçeli'ye ziyaret https://t.co/n7ydj4ELXu,5/1/2021 15:55,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,son dakika... erdoğan'dan bahçeli'ye ziyaret,POSITIVE,0.9589278697967529,0.9589278697967529,0.9589278697967529,0.0
18200,@metesohtaoglu Kimin sayesinde tabiki Türkiye Recep Tayyip Erdoğan sayesinde,5/1/2021 15:46,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,kimin sayesinde tabiki türkiye recep tayyip erdoğan sayesinde,NEGATIVE,0.9266598224639893,-0.9266598224639893,0.0,0.9266598224639893
18201,@ashleylotha You are really sexy.,5/1/2021 15:42,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,sexy.,POSITIVE,0.8048087954521179,0.8048087954521179,0.8048087954521179,0.0
18202,"Cumhurbaşkanımız Sayın Recep Tayyip ERDOĞAN, Genel Başkanımız Sayın Devlet BAHÇELİ'yi evinde ziyaret etti. https://t.co/BIgEpnxPSy",5/1/2021 15:36,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"cumhurbaşkanımız sayın recep tayyip erdoğan, genel başkanımız sayın devlet bahçeli̇'yi evinde ziyaret etti.",POSITIVE,0.7672936916351318,0.7672936916351318,0.7672936916351318,0.0
18203,"Erdoğan, Melih Bulu'nun hard rock ve Metallica dinlediğini bilmiyordur. Bilseydi rektör olarak atamazdı :) https://t.co/4DpgwGNxcO",5/1/2021 15:28,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"erdoğan, melih bulu'nun hard rock metallica dinlediğini bilmiyordur. bilseydi rektör atamazdı :)",POSITIVE,0.9998396635055542,0.9998396635055542,0.9998396635055542,0.0
18204,"Cumhurbaşkanı Erdoğan, MHP Genel Başkanı Bahçeli'yi evinde ziyaret etti https://t.co/AJl3xdgA24",5/1/2021 15:27,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"cumhurbaşkanı erdoğan, mhp genel başkanı bahçeli'yi evinde ziyaret",POSITIVE,0.9787333011627197,0.9787333011627197,0.9787333011627197,0.0
18205,YÖK'ten Boğaziçi Üniversitesi Açıklaması Cumhurbaşkanı Recep Tayyip Erdoğan'ın geçtiğimiz günlerde 5 üniversiteye r… https://t.co/IEEeLCT9t9,5/1/2021 15:26,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,yök'ten boğaziçi üniversitesi açıklaması cumhurbaşkanı recep tayyip erdoğan'ın geçtiğimiz günlerde üniversiteye r…,NEGATIVE,0.9437884092330933,-0.9437884092330933,0.0,0.9437884092330933
18206,"Cumhurbaşkanı #Erdoğan, #Bahçeli'yi evinde ziyaret etti Cumhurbaşkanı Recep Tayyip #Erdoğan, Cumhur İttifakı'nın or… https://t.co/Y7HNfUmDkM",5/1/2021 15:17,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"cumhurbaşkanı #erdoğan, #bahçeli'yi evinde ziyaret cumhurbaşkanı recep tayyip #erdoğan, cumhur i̇ttifakı'nın or…",POSITIVE,0.9763622283935547,0.9763622283935547,0.9763622283935547,0.0
18207,"Lecturer at Dicle University in southeast Turkey's Diyarbakır writes 100-verse poem to President Erdoğan titled: ""I… https://t.co/U0LGGf56Kz",5/1/2021 15:14,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"lecturer dicle university southeast turkey's diyarbakır writes 100-verse poem president erdoğan titled: ""i…",POSITIVE,0.9733743071556091,0.9733743071556091,0.9733743071556091,0.0
18208,"Sayın Melih Bulu, istediğin kadar rock dinle metallica dinle hiç önemli değil. Kendini benimsetemezsin.

yapacağın… https://t.co/wh2t6hNv5p",5/1/2021 15:10,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"sayın melih bulu, istediğin rock dinle metallica dinle önemli değil. benimsetemezsin. yapacağın…",NEGATIVE,0.9861552715301514,-0.9861552715301514,0.0,0.9861552715301514
18209,"@evrendevrimz Galiba vaktiyle BU,Tayyip Bey’e fahri mahri bir doktora unvani vermedi,ondan cok bileylenmis Sayin Er… https://t.co/a1TA2d40a0",5/1/2021 15:07,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"galiba vaktiyle bu,tayyip bey’e fahri mahri bir doktora unvani vermedi,ondan cok bileylenmis sayin er…",NEGATIVE,0.9930338263511658,-0.9930338263511658,0.0,0.9930338263511658
18210,@evrendevrimz Ilk yuze sokar ama Tayyip Erdogan'a biat siralamasinda ilk 100'e sokar!😡,5/1/2021 15:04,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,yuze sokar tayyip erdogan'a biat siralamasinda 100'e sokar!😡,POSITIVE,0.9973568916320801,0.9973568916320801,0.9973568916320801,0.0
18211,"√ Süper Lig'de 16:00 mesaisi sona erdi.

✅Gaziantep FK 2-0 Ankaragücü
⚽ 69' Alexandreu Maxim
⚽ 90+6' Enver Cenk Şah… https://t.co/gHiA4QxpcX",5/1/2021 15:02,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,√ süper lig'de 16:00 mesaisi sona erdi. ✅gaziantep fk 2-0 ankaragücü ⚽ 69' alexandreu maxim ⚽ 90+6' enver cenk şah…,NEGATIVE,0.670961320400238,-0.670961320400238,0.0,0.670961320400238
18212,"📌 Haaretz: Erdoğan’ın Atadığı Üniversite Rektörünü Protesto Eden Öğrencilerle Türk Polisi Çatışıyor

🔗… https://t.co/W1rjLGEdkJ",5/1/2021 14:56,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,📌 haaretz: erdoğan’ın atadığı üniversite rektörünü protesto öğrencilerle türk polisi çatışıyor 🔗…,POSITIVE,0.9955391883850098,0.9955391883850098,0.9955391883850098,0.0
18213,"#Arnavutluk Başbakanı Edi Rama yarın #Türkiye'ye gelecek #Arnavutluk Cumhuriyeti Başbakanı Edi Rama, Cumhurbaşkanı… https://t.co/dGQC4RwdOx",5/1/2021 14:52,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"#arnavutluk başbakanı edi rama yarın #türkiye'ye gelecek #arnavutluk cumhuriyeti başbakanı edi rama, cumhurbaşkanı…",POSITIVE,0.7818573117256165,0.7818573117256165,0.7818573117256165,0.0
18214,"#Arnavutluk Cumhuriyeti Başbakanı Edi Rama yarın #Türkiye'ye gelecek #Arnavutluk Cumhuriyeti Başbakanı Edi Rama, Cu… https://t.co/m0iwkRJBpr",5/1/2021 14:48,Istanbul,Erdoğan,Recep Tayyip Erdo?an,Turkey,"#arnavutluk cumhuriyeti başbakanı edi rama yarın #türkiye'ye gelecek #arnavutluk cumhuriyeti başbakanı edi rama, cu…",POSITIVE,0.6739659905433655,0.6739659905433655,0.6739659905433655,0.0
