,Tweets,Timestamp,Location,Keyword,Category,Country,Word_Tokens,sentiment,score,Sentiment Score,Positive,Negative
9419,@ExSecular @Proud_Hindu_PS @kavita_krishnan Jack Ma missing after reportedly criticising China .. our… https://t.co/3fG6IGCEoj,4/1/2021 19:28,Delhi,Modi,Narendra Modi,India,jack ma missing reportedly criticising china .. our…,NEGATIVE,0.9862446784973145,-0.9862446784973145,0.0,0.9862446784973145
9420,Jack Ma missing after reportedly criticising China .. our @kavita_krishnan blabbers 24*7 against modi govt .. still… https://t.co/zfm5rvzsEJ,4/1/2021 19:28,Delhi,Modi,Narendra Modi,India,jack ma missing reportedly criticising china .. blabbers 24*7 .. still…,NEGATIVE,0.9888249635696411,-0.9888249635696411,0.0,0.9888249635696411
9421,@DrNaseemAhmedS1 @SufiyanSRK22 @ramavtar5542 @imfulara @RealSrk_ Kar di na zahil wali baat google se kya puchna jo… https://t.co/tLaP1kvgtI,4/1/2021 19:25,Delhi,Modi,Narendra Modi,India,kar di zahil wali baat google se kya puchna jo…,NEGATIVE,0.9712583422660828,-0.9712583422660828,0.0,0.9712583422660828
9422,@KanganaTeam @diljitdosanjh Modi ki chaatne se tuje bi followers nhi milege Na tu jhaasi ki rani bnegi 😂😂 https://t.co/8yEVANqew1,4/1/2021 19:18,Delhi,Modi,Narendra Modi,India,chaatne se tuje bi followers nhi milege tu jhaasi rani bnegi 😂😂,NEGATIVE,0.9783478379249573,-0.9783478379249573,0.0,0.9783478379249573
9423,"The cause of Killer modi corrupt,. Christian Congress https://t.co/3rcqqGPWZM",4/1/2021 19:17,Delhi,Modi,Narendra Modi,India,"cause killer corrupt,. christian congress",NEGATIVE,0.9954732656478882,-0.9954732656478882,0.0,0.9954732656478882
9424,@meshu_13 Gand me akhroth hi tutega dekhna jiss din hisab hoga ki itna protest k liye Paisa aaya kha se itne ki kis… https://t.co/rd9crFpSnH,4/1/2021 19:17,Delhi,Modi,Narendra Modi,India,gand akhroth hi tutega dekhna jiss din hisab hoga itna protest k liye paisa aaya kha se itne kis…,NEGATIVE,0.9883428812026978,-0.9883428812026978,0.0,0.9883428812026978
9425,@ABPNews @singhanjali 26 january nazdeek hai.. agitation dismantle krne ki full tyaari me Godi media or Modi Bhakt IT cell.,4/1/2021 19:15,Delhi,Modi,Narendra Modi,India,january nazdeek hai.. agitation dismantle krne tyaari godi media bhakt cell.,NEGATIVE,0.9943580031394958,-0.9943580031394958,0.0,0.9943580031394958
9426,"This's The Time To Show Your Love &amp; Proove It 
Show Them we're With Modi Ji &amp; Always Stands With Him 

#ModiWithFarmers",4/1/2021 19:13,Delhi,Modi,Narendra Modi,India,this's time love &amp; proove we're &amp; stands #modiwithfarmers,POSITIVE,0.9741226434707642,0.9741226434707642,0.9741226434707642,0.0
9427,"Wo modi ji h esa kr b skte hn
Kya pta kl ko bol dein ki biwi chhor do population automatic km ho jaegi 😂 https://t.co/W07rDVUFaf",4/1/2021 19:12,Delhi,Modi,Narendra Modi,India,h esa kr b skte hn kya pta kl ko bol biwi chhor population automatic km ho jaegi 😂,NEGATIVE,0.9944404363632202,-0.9944404363632202,0.0,0.9944404363632202
9428,"Every Enemy Of This Nation Is Joining Hands To Defeat India's Honourable PM @narendramodi Ji

&amp; You Know What 
Modi… https://t.co/YBhnmhWoM0",4/1/2021 19:11,Delhi,Modi,Narendra Modi,India,enemy nation joining hands defeat india's honourable &amp; know modi…,NEGATIVE,0.9125800132751465,-0.9125800132751465,0.0,0.9125800132751465
9429,@logon18th Ki jaise bhagwaan Ram vibhishan ka help le rahe the. Modi ji bhi Ram ki tarah TMC MLA aka Vibhishans ke… https://t.co/Af7kJNvJv4,4/1/2021 19:06,Delhi,Modi,Narendra Modi,India,jaise bhagwaan ram vibhishan ka help le rahe the. bhi ram tarah tmc mla aka vibhishans ke…,NEGATIVE,0.7876750826835632,-0.7876750826835632,0.0,0.7876750826835632
9430,@diljitdosanjh 10 rupiye de pepsi.. Modi sala _______,4/1/2021 19:05,Delhi,Modi,Narendra Modi,India,rupiye pepsi.. sala _______,NEGATIVE,0.9939998388290405,-0.9939998388290405,0.0,0.9939998388290405
9431,@rssurjewala Next election will proove.. Modi ji is right or wrong..but AAP and Congress ka kya hoga...ye to bicholiye hai,4/1/2021 19:05,Delhi,Modi,Narendra Modi,India,election proove.. right wrong..but aap congress ka kya hoga...ye bicholiye hai,NEGATIVE,0.9805201292037964,-0.9805201292037964,0.0,0.9805201292037964
9432,"@desiafterdark @arora_yugam @andrewschulz Yeah, good policies. 
Everyone knows how successful Demonetization &amp; GST… https://t.co/MaTsPGHTAk",4/1/2021 19:04,Delhi,Modi,Narendra Modi,India,"yeah, good policies. knows successful demonetization &amp; gst…",POSITIVE,0.9980083107948303,0.9980083107948303,0.9980083107948303,0.0
9433,@logon18th One of our junior from JJ was comparing Modi to Lord Rama saying unse kam nahin hai 😆😆 woh bhagwaan jais… https://t.co/DAQWTgUELx,4/1/2021 19:03,Delhi,Modi,Narendra Modi,India,junior jj comparing lord rama saying unse nahin hai 😆😆 woh bhagwaan jais…,NEGATIVE,0.9834375977516174,-0.9834375977516174,0.0,0.9834375977516174
9434,@saba11k Dr.... Modi 😜,4/1/2021 19:02,Delhi,Modi,Narendra Modi,India,dr.... 😜,POSITIVE,0.6992605924606323,0.6992605924606323,0.6992605924606323,0.0
