,Tweets,Timestamp,Location,Keyword,Category,Country,Word_Tokens,sentiment,score,Sentiment Score,Positive,Negative
0,"Und wegen all diese Defizite müssen wir jetzt leider weiter auf die absolut unintelligente Holzhammermethode ""Lockd… https://t.co/Vkuw5K50UF",5/1/2021 21:07,Berlin,Merkel,Angela Merkel,Germany,"defizite absolut unintelligente holzhammermethode ""lockd…",NEGATIVE,0.9972258806228638,-0.9972258806228638,0.0,0.9972258806228638
1,"Warum es nun doch ab nächster Woche zu der „Ausgangssperre“ außerhalb eines 15km-Umkreises des Wohnorts kommt, die… https://t.co/dSmmm2cUlW",5/1/2021 21:06,Berlin,Merkel,Angela Merkel,Germany,"nächster woche „ausgangssperre“ außerhalb 15km-umkreises wohnorts kommt, die…",NEUTRAL,0.9716455340385437,-0.9716455340385437,0.0,0.0
2,"Gut das hier kein : Danke, Angela Merkel steht. Das hätte mich dann doch gestört. https://t.co/2BpzG2Tmxy",5/1/2021 21:05,Berlin,Merkel,Angela Merkel,Germany,": danke, angela steht. gestört.",NEGATIVE,0.9116573929786682,-0.9116573929786682,0.0,0.9116573929786682
3,Am besten leben die Politiker! Merkel und ihre Entourage hauen sich die Taschen voll auf Kosten der Steuerzahler! W… https://t.co/NkifLAo2eN,5/1/2021 21:01,Berlin,Merkel,Angela Merkel,Germany,leben politiker! entourage hauen taschen voll kosten steuerzahler! w…,NEGATIVE,0.9550681710243225,-0.9550681710243225,0.0,0.9550681710243225
4,"Avec une tonalité nationaliste genre ""Germany first"" qui rappelle l'arrogance des mêmes médias à l'égard des pays d… https://t.co/OcZqovDmzm",5/1/2021 21:00,Berlin,Merkel,Angela Merkel,Germany,"avec une tonalité nationaliste genre ""germany first"" qui rappelle l'arrogance mêmes médias à l'égard pays d…",NEUTRAL,0.7009085416793823,-0.7009085416793823,0.0,0.0
5,Ach haje... so was kann nur von der Merkel kommen... jetzt exportiert die diesen Mist in die USA und ihre „demokrat… https://t.co/J74YvhHT17,5/1/2021 20:59,Berlin,Merkel,Angela Merkel,Germany,haje... kommen... exportiert mist usa „demokrat…,NEGATIVE,0.9971885085105896,-0.9971885085105896,0.0,0.9971885085105896
6,@morgenpost Wow Merkel...Taschenfarbe perfekt mit der Jacketfarbe abgestimmt...cool! 🤩,5/1/2021 20:59,Berlin,Merkel,Angela Merkel,Germany,wow merkel...taschenfarbe perfekt jacketfarbe abgestimmt...cool! 🤩,POSITIVE,0.9885597825050354,0.9885597825050354,0.9885597825050354,0.0
7,Mit dem #Bewegungsradius🇩🇪 ist es nun amtlich: Während Selbstdarsteller #Söder sich über die zu geringe… https://t.co/Hm3CTxlnln,5/1/2021 20:59,Berlin,Merkel,Angela Merkel,Germany,#bewegungsradius🇩🇪 amtlich: selbstdarsteller #söder geringe…,NEUTRAL,0.9816076159477234,-0.9816076159477234,0.0,0.0
8,"""Genug improvisiert"": was @sefi99 zum verlängerten #Lockdown schreibt. Diese Konsequenz- und Konzeptlosigkeit ist ä… https://t.co/3k0Kv8j1WQ",5/1/2021 20:55,Berlin,Merkel,Angela Merkel,Germany,"""genug improvisiert"": verlängerten #lockdown schreibt. konsequenz- konzeptlosigkeit ä…",NEUTRAL,0.8916579484939575,-0.8916579484939575,0.0,0.0
9,"Stimmt (leider) alles was @jalenz da schreibt.😭

Und es hat Methode.

Die Methode #Merkel, um genau zu sein: Alles… https://t.co/3oRwCIqE4g",5/1/2021 20:55,Berlin,Merkel,Angela Merkel,Germany,"stimmt (leider) schreibt.😭 methode. methode #merkel, genau sein: alles…",POSITIVE,0.5523438453674316,0.5523438453674316,0.5523438453674316,0.0
10,@ntvde Merkel and Müller are the best...Berliner dürfen in ganz Berlin unterwegs sein ✌,5/1/2021 20:55,Berlin,Merkel,Angela Merkel,Germany,müller best...berliner berlin unterwegs ✌,POSITIVE,0.9475350975990295,0.9475350975990295,0.9475350975990295,0.0
11,"@ohneKlippo Für die meisten Deutschen ist Merkel, glaube ich, auch leichter wieder zu erkennen. Aus allen möglichen Gründen.",5/1/2021 20:53,Berlin,Merkel,Angela Merkel,Germany,"meisten deutschen merkel, glaube ich, leichter erkennen. möglichen gründen.",NEUTRAL,0.9783585071563721,-0.9783585071563721,0.0,0.0
12,"@Markus__Lanz Na toll und ich zieh mir hier die ganze Zeit Frau Merkel, Müller und Söder rein 🤦‍♀️sag doch vorher Joko",5/1/2021 20:52,Berlin,Merkel,Angela Merkel,Germany,"toll zieh frau merkel, müller söder rein 🤦‍♀️sag vorher joko",POSITIVE,0.6629417538642883,0.6629417538642883,0.6629417538642883,0.0
13,"Die @taznord berichtet heute über #heimatsuche und, oha, sind alle wunderbar am Start: der letzte Cowboy Mecklenbur… https://t.co/Ak1HRx6OZC",5/1/2021 20:48,Berlin,Merkel,Angela Merkel,Germany,"berichtet #heimatsuche und, oha, wunderbar start: letzte cowboy mecklenbur…",NEUTRAL,0.5682156085968018,-0.5682156085968018,0.0,0.0
14,"@ohoerl @koehler_fdp @behro4 Nein, merkel hat es klargestellt : Berlin ist EIN Ort.",5/1/2021 20:46,Berlin,Merkel,Angela Merkel,Germany,"nein, klargestellt : berlin ort.",NEUTRAL,0.9031569361686707,-0.9031569361686707,0.0,0.0
15,"Ok, Wette verloren. Merkel gründet nen Arbeitskreis. Auch schön.",5/1/2021 20:43,Berlin,Merkel,Angela Merkel,Germany,"ok, wette verloren. gründet nen arbeitskreis. schön.",NEGATIVE,0.953561007976532,-0.953561007976532,0.0,0.953561007976532
16,"@rehgehege @musichistorylaw ""Bei der Einschränkung des Bewegungsradius auf 15 Kilometer um den Wohnort sei nicht di… https://t.co/mc1tLl01EX",5/1/2021 20:41,Berlin,Merkel,Angela Merkel,Germany,"""bei einschränkung bewegungsradius kilometer wohnort di…",NEUTRAL,0.9864732623100281,-0.9864732623100281,0.0,0.0
17,Jens #Spahn stand zuletzt wegen der Impfstoffbeschaffung in der Kritik. Von Bundeskanzlerin #Merkel gab es am Diens… https://t.co/rzu7SZmuYq,5/1/2021 20:41,Berlin,Merkel,Angela Merkel,Germany,jens #spahn stand zuletzt impfstoffbeschaffung kritik. bundeskanzlerin #merkel diens…,NEGATIVE,0.9289053082466125,-0.9289053082466125,0.0,0.9289053082466125
18,"@ntvde Frau Merkel erwartet. Wer tut etwas, dass die Erwartungen sich erfüllen? Hängt das vom Wetter ab? Von unserer Kanzlerin wohl nicht?",5/1/2021 20:40,Berlin,Merkel,Angela Merkel,Germany,"frau erwartet. tut etwas, erwartungen erfüllen? hängt wetter ab? kanzlerin nicht?",NEGATIVE,0.9802753329277039,-0.9802753329277039,0.0,0.9802753329277039
19,"„Wir wollen keine nationalen Alleingänge.“

#Merkel bekennt sich nach Bund-Länder-Spitzenrunde klar zu EU-Ankauf vo… https://t.co/QJWIi8erqb",5/1/2021 20:37,Berlin,Merkel,Angela Merkel,Germany,„wir nationalen alleingänge.“ #merkel bekennt bund-länder-spitzenrunde klar eu-ankauf vo…,NEUTRAL,0.9987148642539978,-0.9987148642539978,0.0,0.0
20,"Empfehlenswert: Der Kommentar zum #Coronadisaster im #Cicero.
https://t.co/ivCXZwt85h",5/1/2021 20:35,Berlin,Merkel,Angela Merkel,Germany,empfehlenswert: kommentar #coronadisaster #cicero.,POSITIVE,0.9773710370063782,0.9773710370063782,0.9773710370063782,0.0
21,"Da ist wohl die deutsche Ka... äähhm der ""Impfstoff"" wohl ziemlich am Dampfen.
Wenn man sich denn schon mit den Rus… https://t.co/VtdgCQZmnN",5/1/2021 20:35,Berlin,Merkel,Angela Merkel,Germany,"deutsche ka... äähhm ""impfstoff"" ziemlich dampfen. rus…",NEGATIVE,0.9676348567008972,-0.9676348567008972,0.0,0.9676348567008972
22,Auf dem Youtube-Kanal der @AfD-Bundestagsfraktion ist bisher weder ein Beitrag zum #Merkel-#Spahn-#Impfdesaster noc… https://t.co/ysnqdh0FDV,5/1/2021 20:33,Berlin,Merkel,Angela Merkel,Germany,youtube-kanal weder beitrag #merkel-#spahn-#impfdesaster noc…,NEGATIVE,0.9293369054794312,-0.9293369054794312,0.0,0.9293369054794312
23,And people still praise Angela Merkel over all this. She might have given a few nice motivational speeches but when… https://t.co/sZTIpMOUCI,5/1/2021 20:27,Berlin,Merkel,Angela Merkel,Germany,people praise angela this. given motivational speeches when…,NEUTRAL,0.9519596695899963,-0.9519596695899963,0.0,0.0
